full_nameyears,sentence,label,sentiment_label,sentiment_score
2014 Aquino,"saying look back past, never get wish go.",,,
2014 Aquino,"therefore, today right us reflect gone through.",,,
2014 Aquino,situation past dream absurdity.,,,
2014 Aquino,senseless bureaucracy padded contracts become norm corruption endemic system.,,,
2014 Aquino,known sick man asia.,,,
2014 Aquino,economy weak industry sparse.,,,
2014 Aquino,failed gain confidence investors.,,,
2014 Aquino,result jobs created.,,,
2014 Aquino,found people deprived hope.,,,
2014 Aquino,"many us already given up, forced take chances countries.",,,
2014 Aquino,"heads bowed, come accept would never able rely government society.",,,
2014 Aquino,"philippines sank deep despair dirty politics.our trust disappeared confidence world philippines ebbed, worst lost faith ourselves.",,,
2014 Aquino,juncture began journey straight righteous path.,,,
2014 Aquino,"father nation, shoulders rest problems inherited problems arise today—it also duty prepare future.",,,
2014 Aquino,"every moment, must mindful concerns perspectives all.",,,
2014 Aquino,think way watching two hundred tv channels time.,,,
2014 Aquino,"need understand unfolding you—you also need know happened before, could lead.",,,
2014 Aquino,"confusion option, must response every question, suggestion, criticism—and must answers even questions asked.",,,
2014 Aquino,"easy job, human, one times also capable feeling apprehension.",,,
2014 Aquino,"spite this, resolve firm primary goal clear return government rightful mandate—to serve filipino people always.",,,
2014 Aquino,true saying give man fish feed day.,,,
2014 Aquino,teach man fish feed lifetime.,,,
2014 Aquino,example technical education skills development authority tesda.,,,
2014 Aquino,disbursement acceleration program contributed .,,,
2014 Aquino,billion pesos tesdas training work scholarship program.,,,
2014 Aquino,"amount enabled graduation , beneficiaries.",,,
2014 Aquino,"percent these—or, , graduates—now jobs.",,,
2014 Aquino,"remaining percent, tesda helping find employment.",,,
2014 Aquino,"take look scholars names pertinent data listed down, wish confirm them.",,,
2014 Aquino,"divide allocated funding number graduates, see government invested around , pesos every scholar.",,,
2014 Aquino,"bpo sector, monthly salary , already considered low end.",,,
2014 Aquino,"every year, earn , pesos.",,,
2014 Aquino,"given maximum tax deduction, annual income tax , pesos.",,,
2014 Aquino,"means first year alone , pesos government invested would paid back—and even profit.",,,
2014 Aquino,"taxes paying government retires will, turn, provide countrymen opportunities given.",,,
2014 Aquino,"good governance right intentions, practices, results.",,,
2014 Aquino,everyone wins.,,,
2014 Aquino,"let us listen stories two tesda graduates translated transcript testimonial marc joseph escora, tesda beneficiary even youve realized dreams, know success, its still stable.",,,
2014 Aquino,still need work hard it.,,,
2014 Aquino,marc joseph escora.,,,
2014 Aquino,high school graduate.,,,
2014 Aquino,"help technical education skills development authority , career business process outsourcing bpo industry right now.",,,
2014 Aquino,based libertad public market seven years.,,,
2014 Aquino,worked barker forpublic transportation vehicles.,,,
2014 Aquino,"family couldnt afford put us school, needed find way support myself, could graduate.",,,
2014 Aquino,important thing ive learned confidence interact people.,,,
2014 Aquino,"people see disability, usually wont able see past it, abilities.",,,
2014 Aquino,need trust yourself.,,,
2014 Aquino,"tesda wasnt help me, probably wouldnt now.",,,
2014 Aquino,way living much better lived back then.,,,
2014 Aquino,"translated transcript testimonial jonnalyn navarossa, tesda beneficiary tesda helped finish studies, find job, support family.",,,
2014 Aquino,"jonnalyn navarossa, technical trainer toyota motor philippines.",,,
2014 Aquino,graduated top batch automotive servicing training class tesda region .,,,
2014 Aquino,chose study automotive servicing ive always dreamed mechanical engineer.,,,
2014 Aquino,"order earn living save up, enrolled tesda.",,,
2014 Aquino,were used thinking auto mechanic mans job.,,,
2014 Aquino,"ive proven long work hard, long youre determined, ensure quality products.",,,
2014 Aquino,"tesda taught value good, clean, quality work.",,,
2014 Aquino,"now, im confident myself.",,,
2014 Aquino,its much easier dream bigger.,,,
2014 Aquino,"launched expanded conditional cash transfer program june , budget .",,,
2014 Aquino,billion pesos.,,,
2014 Aquino,"now, government also support beneficiaries years old.",,,
2014 Aquino,"ask, why according study conducted philippine institute development studies, high school graduate earns percent someone able finish grade school.",,,
2014 Aquino,investing valuable resource filipino people.,,,
2014 Aquino,data national economic development authority attests success.,,,
2014 Aquino,"according them, .",,,
2014 Aquino,percent poverty rate first semester went .,,,
2014 Aquino,percent period .,,,
2014 Aquino,three percentage points equivalent .,,,
2014 Aquino,million filipinos crossed poverty line.,,,
2014 Aquino,"course, right focus needs poorest society.",,,
2014 Aquino,stop there.,,,
2014 Aquino,"greater resources, striving ensure crossed poverty line never go back it.",,,
2014 Aquino,"came office, found society like derelict house choice live.",,,
2014 Aquino,even worse virtually tools materials repair damage.,,,
2014 Aquino,"past years, help every filipino cared wellbeing fellowmen, acquiring tools materials need.",,,
2014 Aquino,one tools budget focused solely needs citizenry—a budget passed ontime four years row.,,,
2014 Aquino,tools include laws accelerated bringing benefits bosses.,,,
2014 Aquino,where—under fair system—the resurgence economy began.,,,
2014 Aquino,able save prudent fiscal management.,,,
2014 Aquino,"able expand coverage essential services without raising taxes, apart sin tax reform, whose goal reduce vice society.",,,
