full_nameyears,sentence,label,sentiment_label,sentiment_score
1999 Estrada,"yet may remind people liberty without responsibility license, freedom confer right violate law rights others, freedom without responsibility formula chaos, anarchy, lawlessness.",,,
1999 Estrada,paranoid take last statement hidden threat.,,,
1999 Estrada,"rest see selfevident principle, accepted throughout ages, needing neither apology defense.",,,
1999 Estrada,"yet, given choice freedom restraint, choose err side freedom.",,,
1999 Estrada,"paraphrase voltaire may agree say, defend death right say it.",,,
1999 Estrada,mean waive right argue you!,,,
1999 Estrada,much constitutional right yours.,,,
1999 Estrada,let doubts erased.,,,
1999 Estrada,"democracy, freedom, constitution alive well country.",,,
1999 Estrada,"now, issues.",,,
1999 Estrada,"although blessed many friends, cronies.",,,
1999 Estrada,"turned down, continue turn down, requests government bailout financially strapped companies, case philippine airlines, owned mr. lucio tan.",,,
1999 Estrada,sequestered shares mr. eduardo cojuangco jr. san miguel corporation litigation stay case resolved.,,,
1999 Estrada,deal involved mr. cojuangco.,,,
1999 Estrada,"extradition process involving mr. mark jimenez proceed accordance due process law, without obstruction.",,,
1999 Estrada,secret deals marcoses.,,,
1999 Estrada,hope answers immediate concerns.,,,
1999 Estrada,"ngayon, handa na ba kayong makinig sa akin akoy nagagalak ipahayag sa inyo na ang ating bansa ay nakaahon na sa krisis ng asia.",,,
1999 Estrada,ito ang isa sa maraming dahilan kung bakit dapat natin ipagdiwang ang unang kaarawan ng aking administrasyon.,,,
1999 Estrada,"sa aking inagurasyon sa luneta noong ng hunyo , mahigpit kong iginiit na huwag nyo akong susubukan!",,,
1999 Estrada,ngunit ang sumubok sa akin ay hindi ang taongbayan kundi ang matinding bagyo na tumama sa ating ekonomiya.,,,
1999 Estrada,"nang akoy hinirang na maging kapitan ng barko ng ating sambayanan, ito ay kasalukuyang palubog na sa maalong dagat ng asian crisis.",,,
1999 Estrada,sabi ko sa aking sarili ang ganda naman ng timing ng aking pagsakay.,,,
1999 Estrada,hinahampas ng hangin alon ang barko.,,,
1999 Estrada,"lalong masama, kakaunti na lang ang gasolina ng kanyang tangke.",,,
1999 Estrada,"paano natin ngayon dadalhin ang barkong ito sa ligtas na lugar hanggang makalipas ang malupit na panahon mabuti na lamang, ang aming team ng mga kilalang dalubhasa sa kanyakanyang linya ay nagkaisa sa pagpapasya kung paano lulutasin ang mga problema na ating hinaharap noon.",,,
1999 Estrada,"sa pamamagitan ng aming pagtutulungan, pagsisikap, mga tamang pamamalakad, napaayos namin ang paggalaw ng barko.",,,
1999 Estrada,"nang sumikat ang araw, ang karamihan ng mga ibang barko ay nakalubog pa rin nagsisikap pang umahon, ngunit ang barko ng pilipinas ay nakalutang na sa liwanag ng araw.",,,
1999 Estrada,"ngayon, marami na ang nakakargang gasolina sa ating barkong pilipinas, dahil nais nilang sumama sa ating paglakbay sa darating na milenio.",,,
1999 Estrada,malayo na ang kaya nating maabot.,,,
1999 Estrada,kaya tayo ay susulong na ngayon!,,,
1999 Estrada,"today, fulfill constitutional mandate address congress first day regular session.",,,
1999 Estrada,"tradition, dwell state nation.",,,
1999 Estrada,let start sincere apology expected wished see fail.,,,
1999 Estrada,sorry disappoint them.,,,
1999 Estrada,"pleased report nation rising, growing, strengthening.",,,
1999 Estrada,"contrast situation described last year, vowed reverse.",,,
1999 Estrada,"akoy natutuwang ipahayag na ang ating bayan ay umaangat, umuunlad, lumalakas.",,,
1999 Estrada,ito ay kabaligtaran ng kalagayan ng ating ekonomiya na aking binigkas dito noong nakaraang taon.,,,
1999 Estrada,nakaraan na ang krisis ng ekonomiya.,,,
1999 Estrada,"last year, first addressed august body, nation economic crisis.",,,
1999 Estrada,"today, it.",,,
1999 Estrada,"last year, told aim help country escape recession.",,,
1999 Estrada,it.,,,
1999 Estrada,", asian neighbors sank recession.",,,
1999 Estrada,"contrast, country managed modest positive growth onetenth one percent gross national product .",,,
1999 Estrada,"however, gross domestic product dipped onehalf one percent year.",,,
1999 Estrada,"first quarter year, gnp abruptly surged upward gdp .. last year, struggling keep sinking.",,,
1999 Estrada,"today, sailing towards high seas again.",,,
1999 Estrada,time pay tribute special class filipinos overseas workers.,,,
1999 Estrada,group kept gnp growth positive rates even worst times.,,,
1999 Estrada,continue economic saviors.,,,
1999 Estrada,"last year, expressed hope keeping inflation singledigit rate.",,,
1999 Estrada,it.,,,
1999 Estrada,", inflation rate fullyear average .. improved sixmonth average .",,,
1999 Estrada,first half .,,,
1999 Estrada,"june alone, inflation .. inflation vicious enemy poor.",,,
1999 Estrada,"last year, said without undermining independence bangko sentral ng pilipinas, would support lowering interest rates.",,,
1999 Estrada,it.,,,
1999 Estrada,"past period alone, benchmark treasury bill rate dropped steeply .",,,
1999 Estrada,"first auction july , , .",,,
1999 Estrada,last monday.,,,
1999 Estrada,lowest level years.,,,
1999 Estrada,bank lending rates also dropped precrisis levels.,,,
1999 Estrada,"last year, lamented devaluation peso imposing burdens people.",,,
1999 Estrada,inferred strengthen currency.,,,
1999 Estrada,it.,,,
1999 Estrada,"beginning , peso plunged alltime low .",,,
1999 Estrada,.,,,
1999 Estrada,"beginning administration, .. since then, peso strengthened dramatically.",,,
1999 Estrada,stabilized within range dollar.,,,
1999 Estrada,achieved largely leaving market alone.,,,
1999 Estrada,"market responded show confidence sent billions dollars loans, investments, export orders philippines.",,,
1999 Estrada,"bangko sentral intervened occasionally prevent wild swings forestall speculative attacks, set trends levels exchange rate.",,,
1999 Estrada,"last year, committed effective efficient tax collection.",,,
1999 Estrada,it.,,,
1999 Estrada,"despite ravages asian crisis tax collections, total revenues amounted billion , tax revenues constituted billion, billion higher .",,,
1999 Estrada,"first four months , bir collections reached billion, .",,,
1999 Estrada,higher .,,,
1999 Estrada,customs collections amounted .,,,
1999 Estrada,"billion, nontax revenues, .",,,
1999 Estrada,billion.,,,
1999 Estrada,mean happy tax effort.,,,
1999 Estrada,"need improve collection performance tax structure itself, hence existing tax laws.",,,
1999 Estrada,"last year, found government deeper fiscal hole public made believe.",,,
1999 Estrada,committed reduce government deficit.,,,
1999 Estrada,"time, didnt it.",,,
1999 Estrada,failed.,,,
1999 Estrada,deliberately shifted course.,,,
1999 Estrada,"time economy threatened recession, previous administration decided acrosstheboard forced savings expenditures government.",,,
1999 Estrada,like administering medicine high blood pressure patient low blood pressure.,,,
1999 Estrada,"lalong lulubha ang pasyente, baka mamatay ng hindi oras.",,,
1999 Estrada,"favorite doctor, first lady, always makes sure blood pressure normal, especially im reading newspapers.",,,
1999 Estrada,scrapped forced cutbacks exactly opposite.,,,
1999 Estrada,ensured public services would continue adequate levels also engaged various pumppriming.,,,
1999 Estrada,aim save spend.,,,
1999 Estrada,counteract slowdown private consumption investment expenditures.,,,
1999 Estrada,"words, raise countrys declining blood pressure rather let sink further.",,,
1999 Estrada,logic simple.,,,
1999 Estrada,time growth threats inflation calls balanced budgets surpluses prevent inflation.,,,
1999 Estrada,time recession deflation calls budget deficits jumpstart recovery.,,,
1999 Estrada,"thus, towards end , increased budget deficit billion, .",,,
1999 Estrada,gnp.,,,
1999 Estrada,"first time, first five months , incurred, planned, deficit .",,,
1999 Estrada,"billion, still within programmed deficit .",,,
1999 Estrada,billion .,,,
1999 Estrada,target gnp.,,,
1999 Estrada,"next two years, intend reduce deficit .",,,
1999 Estrada,.,,,
1999 Estrada,"gnp, eventually attain balanced budget year surpluses thereafter.",,,
1999 Estrada,"words, end term deficit.",,,
1999 Estrada,one problem faced finance deficit.,,,
1999 Estrada,borrowing locally would raised interest rates time wanted go down.,,,
1999 Estrada,borrowing abroad costly.,,,
1999 Estrada,monetary expansion would triggered inflation run peso.,,,
1999 Estrada,foreign exchange controls untenable.,,,
1999 Estrada,raising taxes cutting government expenditures would led deep recession.,,,
1999 Estrada,seemed like way out.,,,
1999 Estrada,found one anyway.,,,
1999 Estrada,"substantial funds located right noses—the foreign currency deposit units, fcdus—so borrowed them, shortterm basis, relatively low cost.",,,
1999 Estrada,"result, brought interest rates.",,,
1999 Estrada,brought inflation rate.,,,
1999 Estrada,strengthened peso.,,,
1999 Estrada,experts say cannot happen time inconsistent one another.,,,
1999 Estrada,it.,,,
1999 Estrada,emerged regional crisis ahead neighbors.,,,
1999 Estrada,narrate inside stories make point.,,,
1999 Estrada,"make career business hitting saying improvement countrys economic performance due pure luck, good weather, anything erap.",,,
1999 Estrada,tsamba lang daw.,,,
1999 Estrada,"sa madalit salita, kung gumaganda ang takbo ng ekonomiya, walang kinalaman si erap.",,,
1999 Estrada,"ngunit kung bumagsak ang ekonomiya, kasalanan ni erap.",,,
1999 Estrada,mali naman yata iyan.,,,
1999 Estrada,recovery due innovative way analyzed situations made bold decisions.,,,
1999 Estrada,success result effective governance.,,,
1999 Estrada,"matter right policies, supported competent dedicated cabinet members, respecting freedom market, managing budgeting resources right, acting quickly danger grew opportunity disappeared.",,,
1999 Estrada,"prominent filipino economist, dr. bernardo villegas, recently wrote—and quote—the economic team present administration first year superior cohesiveness, effectiveness, clarity purpose compared equivalent teams first years  president estradas first economic team among best asia.",,,
1999 Estrada,effective governance teampowered administration also explains rapid recovery countrys international credit standing.,,,
1999 Estrada,sure know definition banker person lends umbrella stops raining.,,,
1999 Estrada,credit markets even jittery.,,,
1999 Estrada,global market gobbles .,,,
1999 Estrada,"billion worth republic philippines global bonds budget support, first country float issue asian crisis market buys million bangko sentral bonds issued reserve management purposes eurobond flotation national government raises million—the world believes philippines, stopped raining.",,,
1999 Estrada,getting shower umbrellas!,,,
1999 Estrada,"mention billions dollars inflows medium longterm loans bilateral sources, banks, financial institutions world bank asian development bank japans exportimport bank overseas economic cooperation fund international monetary fund, among others.",,,
1999 Estrada,isa pang tanda ng pagbangon ng ating ekonomiya ay ang pagbaba ng unemployment rate mula .,,,
1999 Estrada,noong abril nang nakaraang taon hanggang .,,,
1999 Estrada,nitong nakaraang abril dahil sa .,,,
1999 Estrada,million bagong trabahong nalika.,,,
1999 Estrada,gagawin namin ang lahat para ibaba ang unemployment rate sa less sa susunod na taon sa around .,,,
1999 Estrada,bago magtapos ang aking administrasyon.,,,
1999 Estrada,ang ating target ay makalikha nang mula sa million hanggang .,,,
1999 Estrada,million trabaho sa buong panahon ng akng panunungkulan.,,,
1999 Estrada,"meantime, exports zooming doubledigit rates, balance current accounts surplus, gross international reserves alltime highs, currently amounting billion.",,,
1999 Estrada,"developments, wonder space one year, asian countries and, indeed, much world, come recognize presidency philippines among leaders region.",,,
1999 Estrada,indeed long way skepticism greeted presidency began.,,,
1999 Estrada,"apec, asean, regional international forums, current leadership philippines enjoys high level respect.",,,
1999 Estrada,international prestige rise.,,,
1999 Estrada,dramatic rebound stock market strong indication confidence.,,,
1999 Estrada,"people, according latest surveys, give president .",,,
1999 Estrada,approval rating.,,,
1999 Estrada,heads imf world bank also good words say.,,,
1999 Estrada,"mr. james wolfensohn, president world bank, said—and quote—what clear philippine situation vastly different korea, thailand, indonesia  think know weakened far less anyone else region exception singapore.",,,
1999 Estrada,end quote.,,,
1999 Estrada,"mr. michel camdessus, managing director imf, said considered philippines model countries asean region.",,,
1999 Estrada,"last thursday, imf executive board completed fourth review standby arrangement.",,,
1999 Estrada,"allow us draw million, increase gross international reserves.",,,
1999 Estrada,"imf executive directors also praised bangko sentral, headed governor gabriel singson, successful implementation monetary policy turbulence past two years.",,,
1999 Estrada,"ironic foreign experts foreign press give good reviews performance, investors pour money economy, quarters local media undermining confidence country.",,,
1999 Estrada,"samantalang ang mga dayuhang ekonomista manunulat ay pinupuri ang pagahon ng ating ekonomiya, ang ilan naman sa ating mga peryodista ay siyang unang sumisira dito ng walang basehan.",,,
1999 Estrada,"past year, main imperative faced us survive crisis.",,,
1999 Estrada,"now, turn pursuing vision.",,,
1999 Estrada,"those, fact, say vision.",,,
1999 Estrada,"claim, example, programs fight poverty central pledge campaign.",,,
1999 Estrada,wrong.,,,
1999 Estrada,government lacking programs.,,,
1999 Estrada,critics lacking perception.,,,
1999 Estrada,vision.,,,
1999 Estrada,insight.,,,
1999 Estrada,consider poverty intolerable social shame.,,,
1999 Estrada,cries marginal attention total approach.,,,
1999 Estrada,"me, war poverty policy passion.",,,
1999 Estrada,deplore fact past economic programs country mostly upsidedown.,,,
1999 Estrada,baligtad.,,,
1999 Estrada,aimed developing apex neglected base.,,,
1999 Estrada,belief opposite.,,,
1999 Estrada,uplifting rich leaves poor behind.,,,
1999 Estrada,"uplifting poor lifts everyone, including rich.",,,
1999 Estrada,let make clear.,,,
