full_nameyears,sentence,label,sentiment_label,sentiment_score
Arroyo-2008,"tough choices made, kumikilos na ang bayan sa wakas.",,,
Arroyo-2008,malapit na sana tayo sa pagbalanse ng budget.,,,
Arroyo-2008,"retiring debts great amounts, reducing drag countrys development, habang namumuhunan sa taong bayan.",,,
Arroyo-2008,"biglangbigla, nabaligtad ang ekonomiya ng mundo.",,,
Arroyo-2008,"ang pagtalon ng presyo ng langis pagkain ay nagbunsod ng pandaigdigan krisis, worst since great depression end world war ii.",,,
Arroyo-2008,blame speculators moving billions dollars subprime mortgages commodities like fuel food.,,,
Arroyo-2008,others point real surge demand millions chinese indians move middle class.,,,
Arroyo-2008,"whatever reasons, roller coaster ride oil price hikes, high food prices, looming economic recession us markets.",,,
Arroyo-2008,"uncertainty moved like terrible tsunami around globe, wiping away gains, erasing progress.",,,
Arroyo-2008,complex time defies simple easy solutions.,,,
Arroyo-2008,"starters, hard identify villains, unlike financial crisis.",,,
Arroyo-2008,"everyone seems victim, rich countries poor, though certainly take punishment others.",,,
Arroyo-2008,"address global challenges, must go building buttressing bridges allies around world bring rice feed people investments create jobs keep peace maintain stability country rest world.",,,
Arroyo-2008,"yet even reach need, may need us, strive greater selfreliance.",,,
Arroyo-2008,"tough choices made, global crisis catch us helpless unprepared.",,,
Arroyo-2008,"foresight, grit, political will, built shield around country slowed somewhat softened worst effects global crisis.",,,
Arroyo-2008,money care people pay food shortages fuel despite price spikes.,,,
Arroyo-2008,neither anyone else world expected day come soon prepared it.,,,
Arroyo-2008,"guts flinch face tough choices, thank god.",,,
Arroyo-2008,"wisdom recognize needed are, thank congress.",,,
Arroyo-2008,"footing bill, thank taxpayers.",,,
Arroyo-2008,"result been, one hand, ito ang nakasalba sa bayan other, unpopularity opinion polls.",,,
Arroyo-2008,yet even unfriendly polls show selfrated poverty low .,,,
Arroyo-2008,"responsibility president take care, solve problems facing now, provide vision direction nation advance future.",,,
Arroyo-2008,many great hall live privileged lives exert great influence public affairs.,,,
Arroyo-2008,"accessible you, spend time every day underprivileged represented cannot get grip lives daily, allconsuming struggle make ends meet.",,,
Arroyo-2008,nagaalala ako para sa nakakaawang maybahay na pasan ang pananagutan para sa buong pamilya.,,,
Arroyo-2008,nagaalala ako para sa magsasakang nasa unang hanay ng pambansang produksyon ng pagkain ngunit nagsisikap pakanin ang pamilya.,,,
Arroyo-2008,care hardworking students soon graduate wanting see hope good job career prospect home.,,,
Arroyo-2008,"nagaalala ako para sa old na padre de pamilya na di arawaraw ang trabaho, nagaabala sa asawa tatlong anak, dapat bigyan ng higit pang pagkakakitaan dangal.",,,
Arroyo-2008,care teachers gave greatest gift ever received—a good education—still trying pass gift succeeding generations.,,,
Arroyo-2008,"care ofws, famed skill, integrity, untiring labor, send home pay way touch loved ones far away.",,,
Arroyo-2008,nagpupugay ako ngayon sa kanilang mga karaniwang pilipino.,,,
Arroyo-2008,"critics say fiction, along facts figures cite today.",,,
Arroyo-2008,call heroism though dont need praise.,,,
Arroyo-2008,already hero matter most—their families.,,,
Arroyo-2008,said global crisis everyone victim.,,,
Arroyo-2008,"afford avoid, pay delay, worst effects.",,,
Arroyo-2008,many nothing protect immediate blunt force trauma global crisis.,,,
Arroyo-2008,"tulad ninyo, nagaalala ako para sa kanila.",,,
Arroyo-2008,ito ang mga taong bayan na dapat samahan natin.,,,
Arroyo-2008,sacrifices country countrymen.,,,
Arroyo-2008,"solve many complex challenges sa kanilang kalagayan, answer must special care attention great hour need.",,,
Arroyo-2008,"first, must targeted strategy set precise prescriptions ease price challenges facing.",,,
Arroyo-2008,"second, food selfsufficiency less energy dependence greater selfreliance attitude people posture nation.",,,
Arroyo-2008,"third, shortterm relief cannot expense longterm reforms.",,,
Arroyo-2008,"reforms benefit next generation filipinos, next president well.",,,
Arroyo-2008,napakahalaga ang valueadded tax sa pagharap sa mga hamong ito.,,,
Arroyo-2008,itong programa ang sagot sa mga problemang namana natin.,,,
Arroyo-2008,"una, mabawasan ang ating mga utang shore fiscal independence.",,,
Arroyo-2008,"pangalawa, higit na pamumuhunan para mamamayan imprastraktura.",,,
Arroyo-2008,"pangatlo, sapat na pondo para sa mga programang pangmasa.",,,
Arroyo-2008,"thus, infrastructure links programmed poorest provinces like northern samar laoanglapinigarteche, right ay maputik san isidrolope de vega rehabilitation maharlika samar.",,,
Arroyo-2008,"take vat away abdicate responsibility leaders pull rug present future progress, may compromised global crisis.",,,
Arroyo-2008,lalong lumakas ang tiwala ng mga investor dahil sa vat.,,,
Arroyo-2008,mula .,,,
Arroyo-2008,"kada dolyar, lumakas ang piso hanggang .",,,
Arroyo-2008,bago bumalik sa dahil sa mga pabigat ng pangdaigdigang ekonomiya.,,,
Arroyo-2008,"kung alisin ang vat, hihina ang kumpiyansa ng negosyo, lalong tataas ang interes, lalong bababa ang piso, lalong mamahal ang bilihin.",,,
Arroyo-2008,"kapag ibinasura ang vat sa langis kuryente, ang mas makikinabang ay ang mga maykaya na kumukonsumo ng ng langis ng kuryente habang mas masasaktan ang mahihirap na mawawalan ng billion para sa mga programang pinopondohan ngayon ng vat.",,,
Arroyo-2008,take away vat strip people means ride world food energy crisis.,,,
Arroyo-2008,come far made many sacrifices turn back fiscal reforms.,,,
Arroyo-2008,"leadership first easy thing comes mind necessary, however hard.",,,
Arroyo-2008,"government persevered, without flipflops, muchcriticized irreplaceable policies, including oil power vat oil deregulation.",,,
Arroyo-2008,"patuloy na gagamitin ng pamahalaan ang lumalago nating yaman upang tulungan ang mga pamilyang naghihirap sa taas ng bilihin hampas ng bagyo, habang nagpupundar upang sanggahan ang bayan sa mga krisis sa hinaharap.",,,
Arroyo-2008,"para sa mga namamasada namamasahe sa dyip, sinusugpo natin ang kotong colorum upang mapataas ang kita ng mga tsuper.",,,
Arroyo-2008,si federico alvarez kumikita ng day sa kaniyang rutang cubaorosario.,,,
Arroyo-2008,"tinaas ito ng antikotong, anticolorum ngayon na ang kita niya.",,,
Arroyo-2008,iyan ang paraan kung paano napananatili ang dagdagpasahe sa lamang.,,,
Arroyo-2008,halaga lang ng isang text.,,,
Arroyo-2008,texting way life.,,,
Arroyo-2008,asked telecoms cut cost messages networks.,,,
Arroyo-2008,responded.,,,
Arroyo-2008,centavos.,,,
Arroyo-2008,"noong hunyo, nagpalabas tayo ng bilyong piso mula sa vat sa langis— bilyong pambayad ng koryente ng milyong mahihirap, bilyon para college scholarship pautang sa , na estudyanteng maralita kalahating bilyong pautang upang palitan ng mas matipid na lpg, cng, biofuel ang motor ng libulibong jeepney kalahating bilyong pampalit sa fluorescent sa mga pampublikong lugar.",,,
Arroyo-2008,"kung mapapalitan ng fluorescent ang lahat ng bumbilya, makatitipid tayo ng lampas billion.",,,
Arroyo-2008,"sa sunod na katas ng vat, may billion na pambayad ng kuryente ng mahihirap kalahating bilyon para sa matatandang di sakop ng sss gsis kalahating bilyong kapital para sa pamilya ng mga namamasada kalahating bilyon upang mapataas ang kakayahan equipment ng mga munting ospital sa mga lalawigan.",,,
Arroyo-2008,"para sa mga kalamidad, angkop na halaga.",,,
Arroyo-2008,released billion victims typhoon frank.,,,
Arroyo-2008,"support supplemental western visayas calamity budget vat proceeds, tribute likes rodney berdin, age , barangay rombang, belison, antique, saved mother, brother, sister raging waters sibalom river.",,,
Arroyo-2008,"mula sa buwang ito, wala nang income tax ang sumusweldo ng , mas mababa sa isang taon— billion na bawasbuwis para sa maralita middle class.",,,
Arroyo-2008,"maraming salamat, congress.",,,
Arroyo-2008,"ngayong may na commercial rice, natugunan na natin ang problema sa pagkain sa kasalukuyan.",,,
Arroyo-2008,"nagtagumpay tayo dahil sa pagtutulungan ng buong bayan sa pagsasaka, bantaypresyo, paghihigpit sa price manipulation, sa masipag na pamumuno ni artie yap.",,,
Arroyo-2008,"sa mga lgu religious groups na tumutulong dalhin ang nfa rice sa mahihirap, maraming salamat sa inyo.",,,
Arroyo-2008,"dahil sa subsidy, nfa rice among regions cheapest.",,,
Arroyo-2008,"take comfort situation better many nations, substitute solving problem rice fuel home.",,,
Arroyo-2008,"so, let us honest clear eyed—there fundamental shift global economics.",,,
Arroyo-2008,price food fuel likely remain high.,,,
Arroyo-2008,nothing easy government cannot solve problems night.,,,
Arroyo-2008,work ease nearterm pain investing longterm solutions.,,,
Arroyo-2008,"since , new irrigation systems , hectares, including malmar maguindanao north cotabato, lower agusan, casecnan aulo nueva ecija, abulogapayao cagayan apayao, addalam quirino isabela among others, restoration old systems another , hectares increased nations irrigated land historic .",,,
Arroyo-2008,million hectares.,,,
Arroyo-2008,"edwin bandila, years old, ugalingan, carmen, north cotabato, cultivated hectare harvested cavans.",,,
Arroyo-2008,thirteen years na ginawa iyong malmar.,,,
Arroyo-2008,"first state nation address, sabi ko kung hindi matapos iyon sa setyembre ay kakanselahin ko ang kontrata, papapasukin ko ang engineering brigade, natapos nila.",,,
Arroyo-2008,"malmar, cultivates hectares produces cavans per hectare.",,,
Arroyo-2008,"mabuhay, edwin!",,,
Arroyo-2008,vat complete san roqueagno river project.,,,
Arroyo-2008,land bank quadrupled loans farmers fisherfolk.,,,
Arroyo-2008,fact fiction.,,,
Arroyo-2008,check it.,,,
Arroyo-2008,"effective credit utilization, instructed da revitalize farmers cooperatives.",,,
Arroyo-2008,providing seeds subsidized prices help farmers.,,,
Arroyo-2008,incremental malampaya national revenues billion go rice selfsufficiency program.,,,
Arroyo-2008,rice production since increased average .,,,
Arroyo-2008,"year, twice population growth rate.",,,
Arroyo-2008,"promoting natural planning female education, curbed population growth .",,,
Arroyo-2008,"administration, .",,,
Arroyo-2008,", artificial birth control pushed.",,,
Arroyo-2008,campaign spreads awareness responsible parenthood regarding birth spacing.,,,
Arroyo-2008,long years pushing contraceptives made synonymous family planning.,,,
Arroyo-2008,"therefore, informed choice mean letting couples, mostly catholics, know natural family planning.",,,
Arroyo-2008,", nagexport tayo ng bigas.",,,
Arroyo-2008,hindi tumagal.,,,
Arroyo-2008,lets hard ourselves.,,,
Arroyo-2008,panahon pa ng kastila bumibili na tayo ng bigas sa labas.,,,
Arroyo-2008,"may know grow rice well, topography doesnt always cooperate.",,,
Arroyo-2008,"nature gift us mighty mekong like thailand vietnam, vast naturally fertile plains.",,,
Arroyo-2008,nature instead put islands ahead neighbors path typhoons pacific.,,,
Arroyo-2008,"so, import rice consume.",,,
Arroyo-2008,"meet challenge today, feed people now, later, help get hard times.",,,
Arroyo-2008,"meet challenges tomorrow, must become selfreliant, selfsufficient, independent, relying world.",,,
Arroyo-2008,come future agrarian reform.,,,
Arroyo-2008,"say failure, rice importations prove it.",,,
Arroyo-2008,say success—if anything better nothing.,,,
Arroyo-2008,"indeed, people happier owning land work, matter difficulties.",,,
Arroyo-2008,"sa sona noong , sinabi ko, bawat taon, mamamahagi tayo ng , ektarya sa reporma sa lupa , hectares private farmland , public farmland, including ancestral domains.",,,
Arroyo-2008,"di hamak mahigit sa target ang naipamahagi natin sa nakaraang pitong taon , hectares private farmland, , public farmland, certificates ancestral domain , hectares.",,,
Arroyo-2008,"including, , hectares bugkalots quirino, aurora, nueva vizcaya.",,,
Arroyo-2008,"release cadt, rosario camma, bugkalot chieftain, mayor nagtipunan, helped , tribe develop irrigation, plant vegetables corn, achieve food sufficiency.",,,
Arroyo-2008,"mabuhay, chief!",,,
Arroyo-2008,"agrarian reform merely subdivide misery, must raise living standards.",,,
Arroyo-2008,ownership raises farmer knees productivity keep feet.,,,
Arroyo-2008,sinimula ng aking ama ang land reform noong .,,,
Arroyo-2008,"upang mabuo ito, extension carp reforms top priority.",,,
Arroyo-2008,continue rural well urban poor.,,,
Arroyo-2008,"ayaw natin na paglaya ng tenant sa landlord, mapapasailalim naman sa usurero.",,,
Arroyo-2008,former tenants must empowered become agribusinessmen allowing land used collateral.,,,
Arroyo-2008,dapat mapalaya ng reporma sa lupa ang magsasaka sa pagiging alipin sa iba.,,,
Arroyo-2008,dapat bigyan ang magsasaka ng dangal bilang taong malaya di hawak ninuman.,,,
Arroyo-2008,must curb recklessness gives land without means make productive bites beneficiaries chew.,,,
Arroyo-2008,"time, want rackets agrarian reform threats take therefore undervalue land, conspiracies overvalue it.",,,
Arroyo-2008,this.,,,
Arroyo-2008,must path justice progress converge.,,,
Arroyo-2008,let us find christmas.,,,
Arroyo-2008,"dapat nating linisin ang landas para sa mga ibig magpursige sa pagsasaka, taglay ang pananalig na ang lupa ay sasagip sa atin sa huli kung gamitin natin ito nang maayos.",,,
Arroyo-2008,"along massive rice production, cutting costs efficient transport.",,,
Arroyo-2008,"farmtomarket roads, released billion .",,,
Arroyo-2008,nautical highways.,,,
Arroyo-2008,roro boats carried million metric tons cargo million passengers .,,,
Arroyo-2008,"built roro ports administration, slated start within next two years.",,,
Arroyo-2008,", inaugurated western nautical highway batangas mindoro, panay negros mindanao.",,,
Arroyo-2008,"year launched central nautical highway bicol mainland masbate, cebu, bohol camiguin mindanao mainland.",,,
Arroyo-2008,developments strengthen competitiveness.,,,
Arroyo-2008,leading multinational company nestle cut transport costs offset higher milk prices abroad.,,,
Arroyo-2008,"salamat, roro.",,,
Arroyo-2008,"transport costs become reasonable bakeries like gardenia, loaf bread iloilo priced laguna manila.",,,
Arroyo-2008,salamat muli sa roro.,,,
Arroyo-2008,"many lgus stopped collecting fees cargo vehicles, maraming, maraming salamat.",,,
Arroyo-2008,"repaving airports useful agriculture, like zamboanga city airport.",,,
Arroyo-2008,producing rice moving cheaper addresses supply side rice needs.,,,
Arroyo-2008,"demand side, boosting peoples buying power.",,,
Arroyo-2008,ginagawa nating laborintensive ang paggawa pagayos ng kalsada patubig.,,,
Arroyo-2008,"noong sona ng , naglunsad tayo sa ncr ng patrabaho para sa , na school youth, na tinawag na oyster.",,,
Arroyo-2008,"ngayon, mahigit , ang ineempleyo ng oyster sa buong bansa.",,,
Arroyo-2008,"disasterstricken areas, cashforwork program.",,,
Arroyo-2008,"training, .",,,
Arroyo-2008,"million took technical vocational courses last seven years, double number previous years.",,,
Arroyo-2008,"alone, .",,,
Arroyo-2008,million graduated.,,,
Arroyo-2008,"among jessica barlomento hanjin supply officer, shenve catana, marie grace comendador, marlyn tusi, lady welders, congratulations.",,,
Arroyo-2008,"microfinance, loans reached billion times billion started , repayment record, congratulations!",,,
Arroyo-2008,"major lenders include land bank billion, peoples credit finance corporation billion, national livelihood support fund billion, dbp billion, dswds seak million.",,,
Arroyo-2008,"partnering us unleash entrepreneurial spirit, thank you, go negosyo joey concepcion.",,,
Arroyo-2008,upland development benefits farmers agroforestry initiatives.,,,
Arroyo-2008,rubber especially strong zamboanga sibugay north cotabato.,,,
Arroyo-2008,"victoria mindoro, years old, used earn , month farmer factory worker.",,,
Arroyo-2008,"owns hectares goodyear agrarian reform community kabasalan, zamboanga sibugay, earning , week.",,,
Arroyo-2008,"hectare, pedro concordia faviolas makilala, north cotabato, sent six children college, bought two hectares, earn , month.",,,
Arroyo-2008,congratulations!,,,
Arroyo-2008,"jatropha estates starting hectares around tamlang valley negros oriental camsur gensan, fort magsaysay near cordero dam, samar, among others.",,,
Arroyo-2008,"sona, food baskets identified north luzon mindanao.",,,
Arroyo-2008,sad irony mindanao food basket highest hunger nation.,,,
Arroyo-2008,"large fields high productivity, yet also poorest provinces.",,,
Arroyo-2008,prime reason endless mindanao conflict.,,,
Arroyo-2008,comprehensive peace eluded us half century.,,,
Arroyo-2008,"last night, differences tough issue ancestral domain resolved.",,,
Arroyo-2008,"yes, political dynamics among people mindanao.",,,
Arroyo-2008,"let us sort utmost sobriety, patience, restraint.",,,
Arroyo-2008,ask congress act legislative political reforms lead lasting peace term office.,,,
Arroyo-2008,demands decency compassion urge dialogue.,,,
Arroyo-2008,"better talk fight, nothing sovereign value anyway lost.",,,
Arroyo-2008,dialogue achieved confrontation many parts world.,,,
Arroyo-2008,"message recent world conference madrid organized king saudi arabia, universal message pope sydney.",,,
Arroyo-2008,pope benedicts encyclical deus caritas est reminds us there always situations material need help form concrete love neighbour indispensable.,,,
Arroyo-2008,"pinagsasamasama natin ang mga programa ng dswd, doh, gsis, sss, iba pang lumalaban sa kahirapan sa isang national social welfare program para proteksyonan ang pinakamahihirap mula sa pandaigdigang krisis, help whose earnings limited illness, disability, loss job, age, on—through livelihood projects, microfinance, skills technology transfer, emergency temporary employment, pension funds, food aid cash subsidies, child nutrition adult health care, medical missions, salary loans, insurance, housing programs, educational savings schemes, cheaper medicine—thanks congress.",,,
Arroyo-2008,"world bank says brazil, income poorest grown per year versus higher income levels due large part family stipend program linking welfare checks school attendance.",,,
Arroyo-2008,"introduced similar program, pantawid pamilya.",,,
Arroyo-2008,employers funded two increases sss benefits since .,,,
Arroyo-2008,"thank you, employers, paying premiums.",,,
Arroyo-2008,gsis pensions indexed inflation increased every year since .,,,
Arroyo-2008,"salary loan availments increased two months equivalent months, highest system public private—while repayments stretched out.",,,
Arroyo-2008,pagibig housing loans increased .,,,
Arroyo-2008,billion .,,,
Arroyo-2008,billion .,,,
Arroyo-2008,year experienced increase first four months alone.,,,
Arroyo-2008,super heating na.,,,
Arroyo-2008,dapat dagdagan ng gsis buksan muli ng sss ang pautang sa pabahay.,,,
Arroyo-2008,ask congress pass bill allowing sss housing loans beyond present limitation.,,,
Arroyo-2008,"bago ako naging pangulo, .",,,
Arroyo-2008,milyong maralita lamang ang may health insurance.,,,
Arroyo-2008,"noong , sabi natin, dadagdagan pa ng kalahating milyon.",,,
Arroyo-2008,"sa taong iyon, mahigit milyon ang nabigyan natin.",,,
Arroyo-2008,"ngayon, milyong pilipino na ang may health insurance, mahigit doble ng , kasama ang milyong maralita.",,,
Arroyo-2008,philhealth paid billion hospitalization.,,,
Arroyo-2008,"indigent beneficiaries largely come central west visayas, central luzon, ilocos.",,,
Arroyo-2008,"patuloy nating palalawakin itong napakaimportanteng programa, lalo na sa tawitawi, zamboanga norte, maguindanao, apayao, dinagat, lanao sur, northern samar, masbate, abra, misamis occidental.",,,
Arroyo-2008,lalo na sa kanilang mga magsasaka mangingisda.,,,
Arroyo-2008,"provinces agusan sur, kalinga, surigao sur, calamitystricken areas, launch massive school feeding program per child every school day.",,,
Arroyo-2008,"bukod sa libreng edukasyon sa elementarya high school, nadoble ang pondo para sa mga college scholarships, private high school scholarship funds government quadrupled.",,,
Arroyo-2008,"started reforming clustering programs deped, ched, tesda.",,,
Arroyo-2008,"fiscal food challenges, global energy crunch demands better focused resource mobilization, conservation, management.",,,
Arroyo-2008,"government agencies reducing energy fuel bills , emulating texas instruments philippine stock exchange last year.",,,
Arroyo-2008,"congratulations, justice vitug francis lim.",,,
Arroyo-2008,"reduce power system losses, count government regulators also epira amendments.",,,
Arroyo-2008,"successful increasing energy selfsufficiency—, highest history.",,,
Arroyo-2008,"promote natural gas biofuel geothermal fields, among worlds largest windmills like ilocos batanes solar cells lighting many communities mindanao.",,,
Arroyo-2008,"new galoc oil field produce , , barrels per day, crude consumption.",,,
Arroyo-2008,renewable energy bill passed house.,,,
Arroyo-2008,"thank you, congressmen congresswomen.",,,
Arroyo-2008,"costly commodity imports like oil rice offset hard commodities exports like primary products, soft ones like tourism cyberservices, india beats us.",,,
Arroyo-2008,"million training partnership private sector qualify , call centers, medical transcription, animation, software development, projected demand million workers generating billion .",,,
Arroyo-2008,international finance agrees progress.,,,
Arroyo-2008,credit rating agencies kept positive stable outlook country.,,,
Arroyo-2008,world competitiveness ranking rose five notches.,,,
Arroyo-2008,congratulations us.,,,
Arroyo-2008,"sticking to, widening, fiscal reforms earned us respect.",,,
Arroyo-2008,"investors, thank valuable role development.",,,
Arroyo-2008,"invite invest factories services, profitable infrastructure, following formula tarlacpangasinanla union expressway.",,,
Arroyo-2008,"ask business civil society continue work socially equitable, economically viable balance interests.",,,
Arroyo-2008,"mining companies ensure host communities benefit substantively investments, environmental damage operations.",,,
